num_voters,num_alternatives,unique_winner_frequency,winner_frequency,2_winner_frequency,3_winner_frequency,4_winner_frequency,5_winner_frequency
5,2,1.0,1.0,0.0,0.0,0.0,0.0
6,2,0.6879,1.0,0.3121,0.0,0.0,0.0
7,2,1.0,1.0,0.0,0.0,0.0,0.0
8,2,0.7199,1.0,0.2801,0.0,0.0,0.0
9,2,1.0,1.0,0.0,0.0,0.0,0.0
10,2,0.7581,1.0,0.2419,0.0,0.0,0.0
11,2,1.0,1.0,0.0,0.0,0.0,0.0
12,2,0.7742,1.0,0.2258,0.0,0.0,0.0
13,2,1.0,1.0,0.0,0.0,0.0,0.0
14,2,0.7905,1.0,0.2095,0.0,0.0,0.0
15,2,1.0,1.0,0.0,0.0,0.0,0.0
16,2,0.8073,1.0,0.1927,0.0,0.0,0.0
17,2,1.0,1.0,0.0,0.0,0.0,0.0
18,2,0.8129,1.0,0.1871,0.0,0.0,0.0
19,2,1.0,1.0,0.0,0.0,0.0,0.0
20,2,0.8269,1.0,0.1731,0.0,0.0,0.0
21,2,1.0,1.0,0.0,0.0,0.0,0.0
22,2,0.8299,1.0,0.1701,0.0,0.0,0.0
23,2,1.0,1.0,0.0,0.0,0.0,0.0
24,2,0.8323,1.0,0.1677,0.0,0.0,0.0
25,2,1.0,1.0,0.0,0.0,0.0,0.0
26,2,0.835,1.0,0.165,0.0,0.0,0.0
27,2,1.0,1.0,0.0,0.0,0.0,0.0
28,2,0.8463,1.0,0.1537,0.0,0.0,0.0
29,2,1.0,1.0,0.0,0.0,0.0,0.0
30,2,0.8591,1.0,0.1409,0.0,0.0,0.0
31,2,1.0,1.0,0.0,0.0,0.0,0.0
32,2,0.8543,1.0,0.1457,0.0,0.0,0.0
33,2,1.0,1.0,0.0,0.0,0.0,0.0
34,2,0.8701,1.0,0.1299,0.0,0.0,0.0
35,2,1.0,1.0,0.0,0.0,0.0,0.0
36,2,0.8671,1.0,0.1329,0.0,0.0,0.0
37,2,1.0,1.0,0.0,0.0,0.0,0.0
38,2,0.8721,1.0,0.1279,0.0,0.0,0.0
39,2,1.0,1.0,0.0,0.0,0.0,0.0
40,2,0.871,1.0,0.129,0.0,0.0,0.0
41,2,1.0,1.0,0.0,0.0,0.0,0.0
42,2,0.8747,1.0,0.1253,0.0,0.0,0.0
43,2,1.0,1.0,0.0,0.0,0.0,0.0
44,2,0.8818,1.0,0.1182,0.0,0.0,0.0
45,2,1.0,1.0,0.0,0.0,0.0,0.0
46,2,0.887,1.0,0.113,0.0,0.0,0.0
47,2,1.0,1.0,0.0,0.0,0.0,0.0
48,2,0.887,1.0,0.113,0.0,0.0,0.0
49,2,1.0,1.0,0.0,0.0,0.0,0.0
50,2,0.8878,1.0,0.1122,0.0,0.0,0.0
51,2,1.0,1.0,0.0,0.0,0.0,0.0
52,2,0.8916,1.0,0.1084,0.0,0.0,0.0
53,2,1.0,1.0,0.0,0.0,0.0,0.0
54,2,0.8909,1.0,0.1091,0.0,0.0,0.0
55,2,1.0,1.0,0.0,0.0,0.0,0.0
56,2,0.892,1.0,0.108,0.0,0.0,0.0
57,2,1.0,1.0,0.0,0.0,0.0,0.0
58,2,0.8936,1.0,0.1064,0.0,0.0,0.0
59,2,1.0,1.0,0.0,0.0,0.0,0.0
60,2,0.8971,1.0,0.1029,0.0,0.0,0.0
61,2,1.0,1.0,0.0,0.0,0.0,0.0
