num_voters,num_alternatives,unique_winner_frequency,winner_frequency,2_winner_frequency,3_winner_frequency,4_winner_frequency,5_winner_frequency
5,2,1.0,1.0,0.0,0.0,0.0,0.0
6,2,0.6845,1.0,0.3155,0.0,0.0,0.0
7,2,1.0,1.0,0.0,0.0,0.0,0.0
8,2,0.7247,1.0,0.2753,0.0,0.0,0.0
9,2,1.0,1.0,0.0,0.0,0.0,0.0
10,2,0.7509,1.0,0.2491,0.0,0.0,0.0
11,2,1.0,1.0,0.0,0.0,0.0,0.0
12,2,0.7747,1.0,0.2253,0.0,0.0,0.0
13,2,1.0,1.0,0.0,0.0,0.0,0.0
14,2,0.7934,1.0,0.2066,0.0,0.0,0.0
15,2,1.0,1.0,0.0,0.0,0.0,0.0
16,2,0.8109,1.0,0.1891,0.0,0.0,0.0
17,2,1.0,1.0,0.0,0.0,0.0,0.0
18,2,0.8142,1.0,0.1858,0.0,0.0,0.0
19,2,1.0,1.0,0.0,0.0,0.0,0.0
20,2,0.8198,1.0,0.1802,0.0,0.0,0.0
21,2,1.0,1.0,0.0,0.0,0.0,0.0
22,2,0.8287,1.0,0.1713,0.0,0.0,0.0
23,2,1.0,1.0,0.0,0.0,0.0,0.0
24,2,0.8341,1.0,0.1659,0.0,0.0,0.0
25,2,1.0,1.0,0.0,0.0,0.0,0.0
26,2,0.8448,1.0,0.1552,0.0,0.0,0.0
27,2,1.0,1.0,0.0,0.0,0.0,0.0
28,2,0.855,1.0,0.145,0.0,0.0,0.0
29,2,1.0,1.0,0.0,0.0,0.0,0.0
30,2,0.849,1.0,0.151,0.0,0.0,0.0
31,2,1.0,1.0,0.0,0.0,0.0,0.0
32,2,0.8627,1.0,0.1373,0.0,0.0,0.0
33,2,1.0,1.0,0.0,0.0,0.0,0.0
34,2,0.8637,1.0,0.1363,0.0,0.0,0.0
35,2,1.0,1.0,0.0,0.0,0.0,0.0
36,2,0.8684,1.0,0.1316,0.0,0.0,0.0
37,2,1.0,1.0,0.0,0.0,0.0,0.0
38,2,0.8729,1.0,0.1271,0.0,0.0,0.0
39,2,1.0,1.0,0.0,0.0,0.0,0.0
40,2,0.8739,1.0,0.1261,0.0,0.0,0.0
41,2,1.0,1.0,0.0,0.0,0.0,0.0
42,2,0.8771,1.0,0.1229,0.0,0.0,0.0
43,2,1.0,1.0,0.0,0.0,0.0,0.0
44,2,0.8813,1.0,0.1187,0.0,0.0,0.0
45,2,1.0,1.0,0.0,0.0,0.0,0.0
46,2,0.8833,1.0,0.1167,0.0,0.0,0.0
47,2,1.0,1.0,0.0,0.0,0.0,0.0
48,2,0.8883,1.0,0.1117,0.0,0.0,0.0
49,2,1.0,1.0,0.0,0.0,0.0,0.0
50,2,0.8861,1.0,0.1139,0.0,0.0,0.0
51,2,1.0,1.0,0.0,0.0,0.0,0.0
52,2,0.8904,1.0,0.1096,0.0,0.0,0.0
53,2,1.0,1.0,0.0,0.0,0.0,0.0
54,2,0.8999,1.0,0.1001,0.0,0.0,0.0
55,2,1.0,1.0,0.0,0.0,0.0,0.0
56,2,0.8919,1.0,0.1081,0.0,0.0,0.0
57,2,1.0,1.0,0.0,0.0,0.0,0.0
58,2,0.8959,1.0,0.1041,0.0,0.0,0.0
59,2,1.0,1.0,0.0,0.0,0.0,0.0
60,2,0.8934,1.0,0.1066,0.0,0.0,0.0
61,2,1.0,1.0,0.0,0.0,0.0,0.0
62,2,0.8994,1.0,0.1006,0.0,0.0,0.0
63,2,1.0,1.0,0.0,0.0,0.0,0.0
64,2,0.9009,1.0,0.0991,0.0,0.0,0.0
65,2,1.0,1.0,0.0,0.0,0.0,0.0
66,2,0.9016,1.0,0.0984,0.0,0.0,0.0
67,2,1.0,1.0,0.0,0.0,0.0,0.0
68,2,0.9002,1.0,0.0998,0.0,0.0,0.0
69,2,1.0,1.0,0.0,0.0,0.0,0.0
70,2,0.898,1.0,0.102,0.0,0.0,0.0
71,2,1.0,1.0,0.0,0.0,0.0,0.0
72,2,0.909,1.0,0.091,0.0,0.0,0.0
73,2,1.0,1.0,0.0,0.0,0.0,0.0
74,2,0.9081,1.0,0.0919,0.0,0.0,0.0
75,2,1.0,1.0,0.0,0.0,0.0,0.0
76,2,0.9123,1.0,0.0877,0.0,0.0,0.0
77,2,1.0,1.0,0.0,0.0,0.0,0.0
78,2,0.9095,1.0,0.0905,0.0,0.0,0.0
79,2,1.0,1.0,0.0,0.0,0.0,0.0
80,2,0.9136,1.0,0.0864,0.0,0.0,0.0
81,2,1.0,1.0,0.0,0.0,0.0,0.0
82,2,0.9107,1.0,0.0893,0.0,0.0,0.0
83,2,1.0,1.0,0.0,0.0,0.0,0.0
84,2,0.9136,1.0,0.0864,0.0,0.0,0.0
85,2,1.0,1.0,0.0,0.0,0.0,0.0
86,2,0.9091,1.0,0.0909,0.0,0.0,0.0
87,2,1.0,1.0,0.0,0.0,0.0,0.0
88,2,0.9157,1.0,0.0843,0.0,0.0,0.0
89,2,1.0,1.0,0.0,0.0,0.0,0.0
90,2,0.917,1.0,0.083,0.0,0.0,0.0
91,2,1.0,1.0,0.0,0.0,0.0,0.0
92,2,0.9152,1.0,0.0848,0.0,0.0,0.0
93,2,1.0,1.0,0.0,0.0,0.0,0.0
94,2,0.9148,1.0,0.0852,0.0,0.0,0.0
95,2,1.0,1.0,0.0,0.0,0.0,0.0
96,2,0.9192,1.0,0.0808,0.0,0.0,0.0
97,2,1.0,1.0,0.0,0.0,0.0,0.0
98,2,0.9182,1.0,0.0818,0.0,0.0,0.0
99,2,1.0,1.0,0.0,0.0,0.0,0.0
100,2,0.92,1.0,0.08,0.0,0.0,0.0
5,3,0.8507,1.0,0.1039,0.0454,0.0,0.0
6,3,0.8464,1.0,0.1074,0.0462,0.0,0.0
7,3,0.8701,1.0,0.0955,0.0344,0.0,0.0
8,3,0.8699,1.0,0.0973,0.0328,0.0,0.0
9,3,0.8753,0.9999999999999999,0.0952,0.0295,0.0,0.0
10,3,0.8847,1.0,0.0902,0.0251,0.0,0.0
11,3,0.8834,1.0,0.0936,0.023,0.0,0.0
12,3,0.8951,1.0,0.085,0.0199,0.0,0.0
13,3,0.8933,1.0,0.0833,0.0234,0.0,0.0
14,3,0.8933,1.0,0.0874,0.0193,0.0,0.0
15,3,0.8985,1.0,0.0833,0.0182,0.0,0.0
16,3,0.9066,1.0,0.0763,0.0171,0.0,0.0
17,3,0.9085,1.0,0.0757,0.0158,0.0,0.0
18,3,0.9099,1.0,0.0758,0.0143,0.0,0.0
19,3,0.9148,0.9999999999999999,0.0697,0.0155,0.0,0.0
20,3,0.9082,1.0,0.0793,0.0125,0.0,0.0
21,3,0.9154,1.0,0.0724,0.0122,0.0,0.0
22,3,0.9213,1.0,0.0671,0.0116,0.0,0.0
23,3,0.9156,1.0,0.0707,0.0137,0.0,0.0
24,3,0.9186,1.0,0.0698,0.0116,0.0,0.0
25,3,0.922,1.0,0.0676,0.0104,0.0,0.0
26,3,0.9207,1.0,0.0685,0.0108,0.0,0.0
27,3,0.9264,1.0,0.063,0.0106,0.0,0.0
28,3,0.9245,1.0,0.0659,0.0096,0.0,0.0
29,3,0.9301,1.0,0.061,0.0089,0.0,0.0
30,3,0.9288,1.0,0.0626,0.0086,0.0,0.0
31,3,0.9281,1.0,0.0626,0.0093,0.0,0.0
32,3,0.9268,0.9999999999999999,0.0638,0.0094,0.0,0.0
33,3,0.9263,1.0,0.0654,0.0083,0.0,0.0
34,3,0.9322,1.0,0.0589,0.0089,0.0,0.0
35,3,0.9335,1.0,0.0595,0.007,0.0,0.0
36,3,0.9331,1.0,0.0597,0.0072,0.0,0.0
37,3,0.9314,1.0,0.0606,0.008,0.0,0.0
38,3,0.9316,0.9999999999999999,0.0609,0.0075,0.0,0.0
39,3,0.9401,1.0,0.0531,0.0068,0.0,0.0
40,3,0.9366,1.0,0.057,0.0064,0.0,0.0
41,3,0.9332,1.0,0.0587,0.0081,0.0,0.0
42,3,0.9388,1.0,0.0541,0.0071,0.0,0.0
43,3,0.9435,1.0,0.0496,0.0069,0.0,0.0
44,3,0.9423,1.0,0.0497,0.008,0.0,0.0
45,3,0.9417,1.0,0.0535,0.0048,0.0,0.0
46,3,0.9398,1.0,0.0553,0.0049,0.0,0.0
47,3,0.9417,1.0,0.0519,0.0064,0.0,0.0
48,3,0.9414,1.0,0.0513,0.0073,0.0,0.0
49,3,0.9472,1.0,0.0473,0.0055,0.0,0.0
50,3,0.9452,1.0,0.0501,0.0047,0.0,0.0
51,3,0.9459,0.9999999999999999,0.0486,0.0055,0.0,0.0
52,3,0.942,1.0,0.0539,0.0041,0.0,0.0
53,3,0.9444,1.0,0.0509,0.0047,0.0,0.0
54,3,0.9418,1.0,0.0536,0.0046,0.0,0.0
55,3,0.9452,1.0,0.0493,0.0055,0.0,0.0
56,3,0.9475,1.0,0.0479,0.0046,0.0,0.0
57,3,0.9441,1.0,0.0497,0.0062,0.0,0.0
58,3,0.9455,1.0,0.0498,0.0047,0.0,0.0
59,3,0.9462,1.0,0.0488,0.005,0.0,0.0
60,3,0.9526,1.0,0.0424,0.005,0.0,0.0
61,3,0.9477,1.0,0.049,0.0033,0.0,0.0
62,3,0.9508,1.0,0.0454,0.0038,0.0,0.0
63,3,0.948,0.9999999999999999,0.0477,0.0043,0.0,0.0
64,3,0.9467,1.0,0.0474,0.0059,0.0,0.0
