num_voters,num_alternatives,unique_winner_frequency,winner_frequency,2_winner_frequency,3_winner_frequency,4_winner_frequency,5_winner_frequency
5,2,1.0,1.0,0.0,0.0,0.0,0.0
6,2,0.6881,1.0,0.3119,0.0,0.0,0.0
7,2,1.0,1.0,0.0,0.0,0.0,0.0
8,2,0.7272,1.0,0.2728,0.0,0.0,0.0
9,2,1.0,1.0,0.0,0.0,0.0,0.0
10,2,0.7545,1.0,0.2455,0.0,0.0,0.0
11,2,1.0,1.0,0.0,0.0,0.0,0.0
12,2,0.7766,1.0,0.2234,0.0,0.0,0.0
13,2,1.0,1.0,0.0,0.0,0.0,0.0
14,2,0.8003,1.0,0.1997,0.0,0.0,0.0
15,2,1.0,1.0,0.0,0.0,0.0,0.0
16,2,0.8089,1.0,0.1911,0.0,0.0,0.0
17,2,1.0,1.0,0.0,0.0,0.0,0.0
18,2,0.8154,1.0,0.1846,0.0,0.0,0.0
19,2,1.0,1.0,0.0,0.0,0.0,0.0
20,2,0.8279,1.0,0.1721,0.0,0.0,0.0
21,2,1.0,1.0,0.0,0.0,0.0,0.0
22,2,0.8304,1.0,0.1696,0.0,0.0,0.0
23,2,1.0,1.0,0.0,0.0,0.0,0.0
24,2,0.837,1.0,0.163,0.0,0.0,0.0
25,2,1.0,1.0,0.0,0.0,0.0,0.0
26,2,0.8466,1.0,0.1534,0.0,0.0,0.0
27,2,1.0,1.0,0.0,0.0,0.0,0.0
28,2,0.8501,1.0,0.1499,0.0,0.0,0.0
29,2,1.0,1.0,0.0,0.0,0.0,0.0
30,2,0.8573,1.0,0.1427,0.0,0.0,0.0
31,2,1.0,1.0,0.0,0.0,0.0,0.0
32,2,0.8621,1.0,0.1379,0.0,0.0,0.0
33,2,1.0,1.0,0.0,0.0,0.0,0.0
34,2,0.8642,1.0,0.1358,0.0,0.0,0.0
35,2,1.0,1.0,0.0,0.0,0.0,0.0
36,2,0.8647,1.0,0.1353,0.0,0.0,0.0
37,2,1.0,1.0,0.0,0.0,0.0,0.0
38,2,0.8693,1.0,0.1307,0.0,0.0,0.0
39,2,1.0,1.0,0.0,0.0,0.0,0.0
40,2,0.8788,1.0,0.1212,0.0,0.0,0.0
41,2,1.0,1.0,0.0,0.0,0.0,0.0
42,2,0.8743,1.0,0.1257,0.0,0.0,0.0
43,2,1.0,1.0,0.0,0.0,0.0,0.0
44,2,0.8821,1.0,0.1179,0.0,0.0,0.0
45,2,1.0,1.0,0.0,0.0,0.0,0.0
46,2,0.8834,1.0,0.1166,0.0,0.0,0.0
47,2,1.0,1.0,0.0,0.0,0.0,0.0
48,2,0.8844,1.0,0.1156,0.0,0.0,0.0
49,2,1.0,1.0,0.0,0.0,0.0,0.0
50,2,0.8851,1.0,0.1149,0.0,0.0,0.0
51,2,1.0,1.0,0.0,0.0,0.0,0.0
52,2,0.8907,1.0,0.1093,0.0,0.0,0.0
53,2,1.0,1.0,0.0,0.0,0.0,0.0
54,2,0.8918,1.0,0.1082,0.0,0.0,0.0
55,2,1.0,1.0,0.0,0.0,0.0,0.0
56,2,0.8914,1.0,0.1086,0.0,0.0,0.0
57,2,1.0,1.0,0.0,0.0,0.0,0.0
58,2,0.8987,1.0,0.1013,0.0,0.0,0.0
59,2,1.0,1.0,0.0,0.0,0.0,0.0
60,2,0.8967,1.0,0.1033,0.0,0.0,0.0
61,2,1.0,1.0,0.0,0.0,0.0,0.0
62,2,0.8991,1.0,0.1009,0.0,0.0,0.0
63,2,1.0,1.0,0.0,0.0,0.0,0.0
64,2,0.9034,1.0,0.0966,0.0,0.0,0.0
65,2,1.0,1.0,0.0,0.0,0.0,0.0
66,2,0.9045,1.0,0.0955,0.0,0.0,0.0
67,2,1.0,1.0,0.0,0.0,0.0,0.0
68,2,0.9072,1.0,0.0928,0.0,0.0,0.0
69,2,1.0,1.0,0.0,0.0,0.0,0.0
70,2,0.9024,1.0,0.0976,0.0,0.0,0.0
71,2,1.0,1.0,0.0,0.0,0.0,0.0
72,2,0.9037,1.0,0.0963,0.0,0.0,0.0
73,2,1.0,1.0,0.0,0.0,0.0,0.0
74,2,0.9051,1.0,0.0949,0.0,0.0,0.0
75,2,1.0,1.0,0.0,0.0,0.0,0.0
76,2,0.9118,1.0,0.0882,0.0,0.0,0.0
77,2,1.0,1.0,0.0,0.0,0.0,0.0
78,2,0.9099,1.0,0.0901,0.0,0.0,0.0
79,2,1.0,1.0,0.0,0.0,0.0,0.0
80,2,0.9125,1.0,0.0875,0.0,0.0,0.0
81,2,1.0,1.0,0.0,0.0,0.0,0.0
82,2,0.9139,1.0,0.0861,0.0,0.0,0.0
83,2,1.0,1.0,0.0,0.0,0.0,0.0
84,2,0.9118,1.0,0.0882,0.0,0.0,0.0
85,2,1.0,1.0,0.0,0.0,0.0,0.0
86,2,0.9128,1.0,0.0872,0.0,0.0,0.0
87,2,1.0,1.0,0.0,0.0,0.0,0.0
88,2,0.9173,1.0,0.0827,0.0,0.0,0.0
89,2,1.0,1.0,0.0,0.0,0.0,0.0
90,2,0.9182,1.0,0.0818,0.0,0.0,0.0
91,2,1.0,1.0,0.0,0.0,0.0,0.0
92,2,0.9202,1.0,0.0798,0.0,0.0,0.0
93,2,1.0,1.0,0.0,0.0,0.0,0.0
94,2,0.9185,1.0,0.0815,0.0,0.0,0.0
95,2,1.0,1.0,0.0,0.0,0.0,0.0
96,2,0.9171,1.0,0.0829,0.0,0.0,0.0
97,2,1.0,1.0,0.0,0.0,0.0,0.0
98,2,0.9209,1.0,0.0791,0.0,0.0,0.0
99,2,1.0,1.0,0.0,0.0,0.0,0.0
100,2,0.9212,1.0,0.0788,0.0,0.0,0.0
5,3,0.9696,1.0,0.0304,0.0,0.0,0.0
6,3,0.8178,0.9999999999999999,0.0528,0.1294,0.0,0.0
7,3,0.9257,1.0,0.0743,0.0,0.0,0.0
8,3,0.9058,1.0,0.0942,0.0,0.0,0.0
9,3,0.7984,1.0,0.1134,0.0882,0.0,0.0
10,3,0.8894,1.0,0.1106,0.0,0.0,0.0
11,3,0.9556,1.0,0.0444,0.0,0.0,0.0
12,3,0.8804,1.0,0.0562,0.0634,0.0,0.0
13,3,0.9342,1.0,0.0658,0.0,0.0,0.0
14,3,0.9207,1.0,0.0793,0.0,0.0,0.0
15,3,0.8484,1.0,0.0952,0.0564,0.0,0.0
16,3,0.9302,1.0,0.0698,0.0,0.0,0.0
17,3,0.9588,1.0,0.0412,0.0,0.0,0.0
18,3,0.9024,1.0,0.053,0.0446,0.0,0.0
19,3,0.9374,1.0,0.0626,0.0,0.0,0.0
20,3,0.9302,1.0,0.0698,0.0,0.0,0.0
21,3,0.8898,1.0,0.0726,0.0376,0.0,0.0
22,3,0.9367,1.0,0.0633,0.0,0.0,0.0
23,3,0.9584,1.0,0.0416,0.0,0.0,0.0
24,3,0.9219,1.0,0.0465,0.0316,0.0,0.0
25,3,0.9476,1.0,0.0524,0.0,0.0,0.0
26,3,0.9403,1.0,0.0597,0.0,0.0,0.0
27,3,0.9103,1.0,0.0621,0.0276,0.0,0.0
28,3,0.9442,1.0,0.0558,0.0,0.0,0.0
29,3,0.9606,1.0,0.0394,0.0,0.0,0.0
30,3,0.9303,1.0,0.0442,0.0255,0.0,0.0
31,3,0.9523,1.0,0.0477,0.0,0.0,0.0
32,3,0.9485,1.0,0.0515,0.0,0.0,0.0
33,3,0.9193,1.0,0.0556,0.0251,0.0,0.0
34,3,0.9505,1.0,0.0495,0.0,0.0,0.0
35,3,0.9641,1.0,0.0359,0.0,0.0,0.0
36,3,0.9371,1.0,0.0409,0.022,0.0,0.0
37,3,0.9511,1.0,0.0489,0.0,0.0,0.0
38,3,0.9476,1.0,0.0524,0.0,0.0,0.0
39,3,0.9266,1.0,0.0491,0.0243,0.0,0.0
40,3,0.9541,1.0,0.0459,0.0,0.0,0.0
41,3,0.9651,1.0,0.0349,0.0,0.0,0.0
42,3,0.9384,1.0,0.0416,0.02,0.0,0.0
43,3,0.9596,1.0,0.0404,0.0,0.0,0.0
44,3,0.952,1.0,0.048,0.0,0.0,0.0
45,3,0.935,1.0,0.0434,0.0216,0.0,0.0
46,3,0.9586,1.0,0.0414,0.0,0.0,0.0
47,3,0.9629,1.0,0.0371,0.0,0.0,0.0
48,3,0.9417,1.0,0.0401,0.0182,0.0,0.0
49,3,0.9613,1.0,0.0387,0.0,0.0,0.0
50,3,0.9579,1.0,0.0421,0.0,0.0,0.0
51,3,0.9432,1.0,0.0416,0.0152,0.0,0.0
52,3,0.9603,1.0,0.0397,0.0,0.0,0.0
53,3,0.9689,1.0,0.0311,0.0,0.0,0.0
54,3,0.9527,1.0,0.0352,0.0121,0.0,0.0
55,3,0.9595,1.0,0.0405,0.0,0.0,0.0
